Stations,Drones,Iteration,APCount,Distance,APDistance,FlightTime,APFlightTime
15,5,10,13,6252.890431445336,5614.138279197783,3.2812769217810365,3.2812769217810365
15,6,1,10,4629.820353269481,4384.306625508638,2.4250368160512026,2.2288707839055473
15,6,2,12,5722.692630345924,6217.925611055291,2.649008099873974,2.6439999482069485
15,6,3,14,5806.24751251232,5294.113648971672,2.727950406863467,2.727950406863467
15,6,4,12,5270.016913971413,5798.196098047179,2.781179171110099,2.483263589648664
15,6,5,12,3933.4028675102686,4509.351510235148,1.871856475836415,1.8642859327182535
15,6,6,13,5393.419973429167,5035.371820868964,2.7732630075075835,2.7732630075075835
15,6,7,12,6801.270069858929,7428.939579490662,2.938024984962224,2.8154697692936494
15,6,8,10,4153.911751126195,4402.9006604506985,2.462435456465981,2.454580795575015
15,6,9,13,5821.456013489809,5342.000320388652,2.851115512700425,2.5746567116883923
15,6,10,11,5476.542999615836,5302.06027793639,2.5307233163412266,2.524136124135878
15,7,1,12,5627.808108504019,5928.8556957426135,2.8150843203556675,2.700204949950037
15,7,2,11,6029.437721781851,5478.970383481865,2.959406132837945,2.944201839363015
15,7,3,13,4600.985184209403,5331.937932048155,2.3449986658087423,2.075047829632543
15,7,4,11,5801.264761393519,6129.3880255425065,3.0669367030656614,3.0635858627099375
15,7,5,12,5998.843033419259,6174.405916565502,3.248489939048655,2.7043450538445133
15,7,6,10,5498.005875072138,5538.905662546238,3.109563619420824,2.653856312767453
15,7,7,10,7128.760931190547,6141.927351883709,3.178533505597196,3.0036482751897084
15,7,8,13,4674.708175046033,5198.897068819062,2.2662591260564384,2.2622017788760895
15,7,9,11,5872.465337514257,5706.758685846175,2.8840077908481594,2.741573447285801
15,7,10,11,5067.389958333553,5537.066225617887,2.7314717170141867,2.728882333646994
15,8,1,11,5773.5877788949065,4627.3824678684205,2.087004079070019,2.087004079070019
15,8,2,12,6827.474697522336,5904.733298443047,2.4766335568536197,2.4766335568536197
15,8,3,11,8422.09077536158,6727.6043972459265,2.871978532967419,2.871978532967419
15,8,4,13,7684.293629672073,7136.450706153792,2.796636386455239,3.256852154404231
15,8,5,9,6622.134141190237,4261.17369114943,2.3895820167370188,2.4812408266324177
15,8,6,9,8185.2687063378335,5140.082639753964,2.8407530429297503,2.727520974078126
15,8,7,13,8861.196996128505,7254.394186835292,2.8250524680753504,2.6872831068960625
